faa,name,lon,lat,tzone
AFW,Fort Worth Alliance Airport,-97.318889,32.987778,America/Chicago
AGC,Allegheny County Airport,-79.9302,40.3544,America/New_York
AGN,Angoon Seaplane Base,-134.585,57.503611,America/Anchorage
AGS,Augusta Rgnl At Bush Fld,-81.9645,33.369944,America/New_York
AHN,Athens Ben Epps Airport,-83.3263,33.9486,America/New_York
AIA,Alliance Municipal Airport,-102.803889,42.053333,America/Denver
AIK,Municipal Airport,-81.6850278,33.6493889,America/New_York
AIN,Wainwright Airport,-159.994722,70.638056,America/Anchorage
AIZ,Lee C Fine Memorial Airport,-92.5494875,38.096035,America/Chicago
AKB,Atka Airport,-174.206389,52.220278,America/Anchorage
AKC,Akron Fulton Intl,-81.466917,41.0375,America/New_York
AKI,Akiak Airport,-161.230556,60.902778,America/Anchorage
AKK,Akhiok Airport,-154.1825,56.938611,America/Anchorage
AKN,King Salmon,-156.649278,58.676778,America/Anchorage
AKP,Anaktuvuk Pass Airport,-151.743,68.1336,America/Anchorage
ALB,Albany Intl,-73.801692,42.748267,America/New_York
ALI,Alice Intl,-98.026944,27.740889,America/Chicago
ALM,Alamogordo White Sands Regional Airport,-105.991,32.8399,America/Denver
ALO,Waterloo Regional Airport,-92.4003,42.5571,America/Chicago
ALS,San Luis Valley Regional Airport,-105.866667,37.435,America/Denver
ALW,Walla Walla Regional Airport,-118.288,46.0949,America/Los_Angeles
ALX,Alexandria,-77.0621,38.806346,America/New_York
ALZ,Alitak Seaplane Base,-154.247778,56.899444,America/Anchorage
AMA,Rick Husband Amarillo Intl,-101.705931,35.219369,America/Chicago
ANB,Anniston Metro,-85.858111,33.588167,America/Chicago
ANC,Ted Stevens Anchorage Intl,-149.996361,61.174361,America/Anchorage
AND,Anderson Rgnl,-82.709389,34.494583,America/New_York
ANI,Aniak Airport,-159.543,61.5816,America/Anchorage
ANN,Annette Island,-131.572233,55.042436,America/Anchorage
ANP,Lee Airport,-76.568333,38.942778,America/New_York
ANQ,Tri-State Steuben County Airport,-85.0834933,41.6396983,America/New_York
ANV,Anvik Airport,-160.191,62.6467,America/Anchorage
AOH,Lima Allen County Airport,-84.0270781,40.707478,America/New_York
AOO,Altoona Blair Co,-78.320022,40.296372,America/New_York
AOS,Amook Bay Seaplane Base,-153.815278,57.471389,America/Anchorage
APA,Centennial,-104.849294,39.570129,America/Denver
APC,Napa County Airport,-122.2806944,38.2131944,America/Los_Angeles
APF,Naples Muni,-81.775294,26.152619,America/New_York
APG,Phillips Aaf,-76.168808,39.466219,America/New_York
APN,Alpena County Regional Airport,-83.5603,45.0781,America/New_York
AQC,Klawock Seaplane Base,-133.101693,55.554658,America/Anchorage
ARA,Acadiana Rgnl,-91.883896,30.037758,America/Chicago
ARB,Ann Arbor Municipal Airport,-83.444418,42.132274,America/New_York
ARC,Arctic Village Airport,-145.579,68.1147,America/Anchorage
ART,Watertown Intl,-76.021739,43.991922,America/New_York
ARV,Lakeland,-89.730833,45.927778000000004,America/Chicago
ASE,Aspen Pitkin County Sardy Field,-106.869,39.2232,America/Denver
ASH,Boire Field Airport,-71.5147778,42.78175,America/New_York
AST,Astoria Regional Airport,-123.878694,46.157972,America/Los_Angeles
ATK,Atqasuk Edward Burnell Sr Memorial Airport,-157.436,70.4673,America/Anchorage
ATL,Hartsfield Jackson Atlanta Intl,-84.428067,33.636719,America/New_York
ATT,Camp Mabry Austin City,-97.7666,30.31666,America/Chicago
ATW,Appleton,-88.507576,44.257526,America/Chicago
ATY,Watertown Regional Airport,-97.1547,44.914,America/Chicago
AUG,Augusta State,-69.797317,44.320647,America/New_York
AUK,Alakanuk Airport,-164.66,62.68,America/Anchorage
AUO,Auburn University Regional,-85.2604,32.3691,America/Chicago
AUS,Austin Bergstrom Intl,-97.669889,30.194528,America/Chicago
AUW,Wausau Downtown Airport,-89.6270018,44.9262845,America/Chicago
AVL,Asheville Regional Airport,-82.541806,35.436194,America/New_York
AVO,Executive,-81.528889,27.591389,America/New_York
AVP,Wilkes Barre Scranton Intl,-75.723403,41.338478,America/New_York
AVW,Marana Regional,-111.218388,32.409556,America/Phoenix
AVX,Avalon,-118.415833,33.405,America/Los_Angeles
AZA,Phoenix-Mesa Gateway,-111.655,33.307833,America/Phoenix
AZO,Kalamazoo,-85.552058,42.234875,America/New_York
BAB,Beale Afb,-121.436567,39.136089,America/Los_Angeles
BAD,Barksdale Afb,-93.662674,32.50182,America/Chicago
BAF,Barnes Municipal,-72.715875,42.1579472,America/New_York
BBX,Wings Field,-75.265,40.1375,America/New_York
BCE,Bryce Canyon,-112.145806,37.706444,America/Denver
BCT,Boca Raton,-80.107694,26.3785,America/New_York
BDE,Baudette Intl,-94.612222,48.728444,America/Chicago
BDL,Bradley Intl,-72.683222,41.938889,America/New_York
BDR,Igor I Sikorsky Mem,-73.126167,41.163472,America/New_York
BEC,Beech Factory Airport,-97.2149167,37.6939167,America/Chicago
BED,Laurence G Hanscom Fld,-71.289031,42.469953,America/New_York
BEH,Southwest Michigan Regional Airport,-86.4285,42.1285833,America/New_York
BET,Bethel,-161.838,60.779778,America/Anchorage
BFD,Bradford Regional Airport,-78.6401,41.8031,America/New_York
BFF,Western Nebraska Regional Airport,-103.596,41.874,America/Denver
BFI,Boeing Fld King Co Intl,-122.301947,47.53,America/Los_Angeles
BFL,Meadows Fld,-119.05677,35.433598,America/Los_Angeles
BFM,Mobile Downtown,-88.068092,30.626783,America/Chicago
BFP,Beaver Falls,-80.3914444,40.7724722,America/New_York
BFT,Beaufort,-80.723161,32.477411,America/New_York
BGE,Decatur County Industrial Air Park,-84.6369278,30.9715981,America/New_York
BGM,Greater Binghamton Edwin A Link Fld,-75.979839,42.208689,America/New_York
BGR,Bangor Intl,-68.828139,44.807444,America/New_York
BHB,Hancock County - Bar Harbor,-68.3615653,44.4497689,America/New_York
BHM,Birmingham Intl,-86.75355,33.562942,America/Chicago
BID,Block Island State Airport,-71.577778,41.168056,America/New_York
BIF,Biggs Aaf,-106.380039,31.849528,America/Denver
BIG,Allen Aaf,-145.721642,63.994547,America/Anchorage
BIL,Billings Logan International Airport,-108.537654,45.80921,America/Denver
BIS,Bismarck Municipal Airport,-100.757931,46.775842,America/Chicago
BIV,Tulip City Airport,-86.1078333,42.7427778,America/New_York
BIX,Keesler Afb,-88.924433,30.410425,America/Chicago
BJC,Rocky Mountain Metropolitan Airport,-105.11722222,39.90888888,America/Denver
BJI,Bemidji Regional Airport,-94.934722,47.510722,America/Chicago
BKC,Buckland Airport,-161.149167,65.981667,America/Anchorage
BKD,Stephens Co,-98.891,32.719047,America/Chicago
BKF,Buckley Afb,-104.75166,39.701668,America/Denver
BKG,Branson LLC,-93.200556,36.531994,America/Chicago
BKH,Barking Sands Pmrf,-159.785,22.022833,Pacific/Honolulu
BKL,Burke Lakefront Airport,-81.683333,41.5175,America/New_York
BKW,Raleigh County Memorial Airport,-81.1242,37.7873,America/New_York
BKX,Brookings Regional Airport,-96.8169,44.3048,America/Chicago
BLD,Boulder City Municipal Airport,-114.514,35.5651,America/Phoenix
BLF,Mercer County Airport,-81.2077,37.2958,America/New_York
BLH,Blythe Airport,-114.716889,33.619167,America/Los_Angeles
BLI,Bellingham Intl,-122.537528,48.792694,America/Los_Angeles
BLV,Scott Afb Midamerica,-89.835183,38.545178,America/Chicago
BMC,Brigham City,-112.062,41.552,America/Denver
BMG,Monroe County Airport,-86.6166805,39.1460208,America/New_York
BMI,Central Illinois Rgnl,-88.915917,40.477111,America/Chicago
BMT,Beaumont Municipal,-94.2150967,30.0702044,America/Chicago
BMX,Big Mountain Afs,-155.258822,59.361247,America/Anchorage
BNA,Nashville Intl,-86.678194,36.124472,America/Chicago
BOI,Boise Air Terminal,-116.222861,43.564361,America/Denver
BOS,General Edward Lawrence Logan Intl,-71.005181,42.364347,America/New_York
BOW,Bartow Municipal Airport,-81.7834,27.9434,America/New_York
BPT,Southeast Texas Rgnl,-94.020694,29.950833,America/Chicago
BQK,Brunswick Golden Isles Airport,-81.4665,31.2588,America/New_York
BRD,Brainerd Lakes Rgnl,-94.138078,46.398308,America/Chicago
BRL,Southeast Iowa Regional Airport,-91.1255,40.7832,America/Chicago
BRO,Brownsville South Padre Island Intl,-97.425861,25.906833,America/Chicago
BRW,Wiley Post Will Rogers Mem,-156.766003,71.285446,America/Anchorage
BSF,Bradshaw Aaf,-155.553717,19.760056,Pacific/Honolulu
BTI,Barter Island Lrrs,-143.581867,70.133989,America/Anchorage
BTM,Bert Mooney Airport,-112.497472,45.954806,America/Denver
BTR,Baton Rouge Metro Ryan Fld,-91.149639,30.533167,America/Chicago
BTT,Bettles,-151.529056,66.913944,America/Anchorage
BTV,Burlington Intl,-73.153278,44.471861,America/New_York
BUF,Buffalo Niagara Intl,-78.732167,42.940525,America/New_York
BUR,Bob Hope,-118.358667,34.200667,America/Los_Angeles
BUU,Municipal Airport,-88.3046825,42.6907171,America/Chicago
BUY,Burlington-Alamance Regional Airport,-79.4748892,36.0485433,America/New_York
BVY,Beverly Municipal Airport,-70.9161444,42.584141,America/New_York
BWD,KBWD,-98.9565,31.7936111,America/Chicago
BWG,Bowling Green-Warren County Regional Airport,-86.4196667,36.9645278,America/Chicago
BWI,Baltimore Washington Intl,-76.668333,39.175361,America/New_York
BXK,Buckeye Municipal Airport,-112.68618,33.420417,America/Phoenix
BXS,Borrego Valley Airport,-116.3209722,33.2590278,America/Los_Angeles
BYH,Arkansas Intl,-89.943956,35.964347,America/Chicago
BYS,Bicycle Lake Aaf,-116.630031,35.280531,America/Los_Angeles
BYW,Blakely Island Airport,-122.80243,48.56025,America/Los_Angeles
BZN,Gallatin Field,-111.160151,45.777643,America/Denver
C02,Grand Geneva Resort Airport,-88.3895833,42.6149167,America/Chicago
C16,Frasca Field,-88.200197,40.144979,America/Chicago
C47,Portage Municipal Airport,-89.4828607,43.5603136,America/Chicago
C65,Plymouth Municipal Airport,-86.3002574,41.3651307,America/New_York
C89,Sylvania Airport,-87.9589722,42.70325,America/Chicago
C91,Dowagiac Municipal Airport,-86.1280125,41.9929342,America/New_York
CAE,Columbia Metropolitan,-81.119528,33.938833,America/New_York
CAK,Akron Canton Regional Airport,-81.4421944,40.9160833,America/New_York
CAR,Caribou Muni,-68.017917,46.8715,America/New_York
CBE,Greater Cumberland Rgnl.,-78.760556,39.615278000000004,America/New_York
CBM,Columbus Afb,-88.443833,33.643833,America/Chicago
CCO,Coweta County Airport,-84.7697554,33.3115656,America/New_York
CCR,Buchanan Field Airport,-122.0568889,37.9896667,America/Los_Angeles
CDB,Cold Bay,-162.725436,55.206061,America/Anchorage
CDC,Cedar City Rgnl,-113.098847,37.700967,America/Denver
CDI,Cambridge Municipal Airport,-81.5775833,39.9750278,America/New_York
CDK,CedarKey,-83.0504722,29.1342222,America/New_York
CDN,Woodward Field,-80.5648611,34.2835833,America/New_York
CDR,Chadron Municipal Airport,-103.095556,42.8375,America/Denver
CDS,Childress Muni,-100.287992,34.433781,America/Chicago
CDV,Merle K Mudhole Smith,-145.477556,60.491778,America/Anchorage
CDW,Caldwell Essex County Airport,-74.2813611,40.8752222,America/New_York
CEC,Del Norte County Airport,-124.237,41.7802,America/Los_Angeles
CEF,Westover Arb Metropolitan,-72.534783,42.194014,America/New_York
CEM,Central Airport,-144.780833,65.573889,America/Anchorage
CEU,Clemson,-82.8858889,34.6722222,America/New_York
CEW,Bob Sikes,-86.522111,30.778833,America/Chicago
CEZ,Cortez Muni,-108.628056,37.303,America/Denver
CFD,Coulter Fld,-96.331361,30.715694,America/Chicago
CGA,Craig Seaplane Base,-133.147778,55.478889,America/Anchorage
CGC,Crystal River,-82.5741111,28.8676111,America/New_York
CGF,Cuyahoga County,-81.4863555,41.565124,America/New_York
CGI,Cape Girardeau Regional Airport,-89.5708,37.2253,America/Chicago
CGX,Meigs Field,-87.609722,41.860278,America/Chicago
CGZ,Casa Grande Municipal Airport,-111.766832,32.954889,America/Phoenix
CHA,Lovell Fld,-85.203808,35.035278,America/New_York
CHI,All Airports,-87.631667,41.883611,America/Chicago
CHO,Charlottesville-Albemarle,-78.452861,38.138639,America/New_York
CHS,Charleston Afb Intl,-80.040528,32.898647,America/New_York
CHU,Chuathbaluk Airport,-159.215556,61.579167,America/Anchorage
CIC,Chico Muni,-121.858422,39.795383,America/Los_Angeles
CID,Cedar Rapids,-91.710806,41.884694,America/Chicago
CIK,Chalkyitsik Airport,-143.74,66.645,America/Anchorage
CIL,Council Airport,-163.703333,64.897778,America/Anchorage
CIU,Chippewa County International Airport,-84.4724,46.2508,America/New_York
CKB,Harrison Marion Regional Airport,-80.2281,39.2966,America/New_York
CKD,Crooked Creek Airport,-158.135,61.867778,America/Anchorage
CKF,Crisp County Cordele Airport,-83.7739167,31.9888333,America/New_York
CKV,Clarksville-Montgomery County Regional Airport,-87.415,36.621944,America/Chicago
CLC,Clear Lake Metroport,-95.137497,29.5569,America/Chicago
CLD,McClellan-Palomar Airport,-117.1648,33.0742,America/Los_Angeles
CLE,Cleveland Hopkins Intl,-81.849794,41.411689,America/New_York
CLL,Easterwood Fld,-96.363833,30.588583,America/Chicago
CLM,William R Fairchild International Airport,-123.5,48.1202,America/Los_Angeles
CLS,Chehalis-Centralia,-122.5897,46.4062,America/Los_Angeles
CLT,Charlotte Douglas Intl,-80.943139,35.214,America/New_York
CLW,Clearwater Air Park,-82.7586667,27.9764722,America/New_York
CMH,Port Columbus Intl,-82.891889,39.997972,America/New_York
CMI,Champaign,-88.278056,40.03925,America/Chicago
CMX,Houghton County Memorial Airport,-88.4891,47.1684,America/New_York
CNM,Cavern City Air Terminal,-104.263278,32.337472,America/Denver
CNW,Tstc Waco,-97.074139,31.637831,America/Chicago
CNY,Canyonlands Field,-109.754722,38.755,America/Denver
COD,Yellowstone Rgnl,-109.023806,44.520194,America/Denver
COE,Pappy Boyington,-116.8195833,47.7743056,America/Los_Angeles
COF,Patrick Afb,-80.610125,28.234922,America/New_York
COI,Merritt Island Airport,-80.6854722,28.3416111,America/New_York
CON,Concord Municipal,-71.50233,43.20267,America/New_York
COS,City Of Colorado Springs Muni,-104.700778,38.805805,America/Denver
COT,Cotulla Lasalle Co,-99.220294,28.456694,America/Chicago
COU,Columbia Rgnl,-92.219631,38.818094,America/Chicago
CPR,Natrona Co Intl,-106.464417,42.908,America/Denver
CPS,St. Louis Downtown Airport,-90.1562211,38.5707244,America/Chicago
CRE,Grand Strand Airport,-78.7239444,33.81175,America/New_York
CRP,Corpus Christi Intl,-97.501222,27.770361,America/Chicago
CRW,Yeager,-81.593189,38.373147,America/New_York
CSG,Columbus Metropolitan Airport,-84.9388611,32.5163333,America/New_York
CTB,Cut Bank Muni,-112.376144,48.608353,America/Denver
CTH,Chester County G O Carlson Airport,-75.8654,39.9789,America/New_York
CTJ,West Georgia Regional Airport - O V Gray Field,-85.1522641,33.6316964,America/New_York
CTY,Cross City,-83.10475,29.6355278,America/New_York
CVG,Cincinnati Northern Kentucky Intl,-84.667822,39.048836,America/New_York
CVN,Clovis Muni,-103.079278,34.425139,America/Denver
CVO,Corvallis Muni,-123.2915,44.5067,America/Los_Angeles
CVS,Cannon Afb,-103.322147,34.382775,America/Denver
CVX,Charlevoix Municipal Airport,-85.2753333,45.3047778,America/New_York
CWA,Central Wisconsin,-89.646635,44.772726,America/Chicago
CWI,Clinton Municipal,-90.3289722,41.83075,America/Chicago
CWT,Chatsworth Station,-118.598889,34.256944,America/Los_Angeles
CXF,Coldfoot Airport,-150.176111,67.251389,America/Anchorage
CXL,Calexico Intl,-115.51333,32.669502,America/Los_Angeles
CXO,Lone Star Executive,-95.414467,30.351833,America/Chicago
CXY,Capital City Airport,-76.8513611,40.2171389,America/New_York
CYF,Chefornak Airport,-164.285556,60.149167,America/Anchorage
CYM,Chatham Seaplane Base,-134.946111,57.515,America/Anchorage
CYS,Cheyenne Rgnl Jerry Olson Fld,-104.811839,41.155722,America/Denver
CYT,Yakataga Airport,-142.493611,60.081901,America/Anchorage
CZF,Cape Romanzof Lrrs,-166.038747,61.780297,America/Anchorage
CZG,Tri-Cities,-76.0578,42.0471,America/New_York
CZN,Chisana Airport,-142.048333,62.071111,America/Anchorage
DAB,Daytona Beach Intl,-81.058056,29.179917,America/New_York
DAL,Dallas Love Fld,-96.851778,32.847111,America/Chicago
DAW,Skyhaven Airport,-70.9292778,43.2840556,America/New_York
DAY,James M Cox Dayton Intl,-84.219375,39.902375,America/New_York
DBN,W H Barron Field,-82.591,32.3388,America/New_York
DBQ,Dubuque Rgnl,-90.709472,42.402,America/Chicago
DCA,Ronald Reagan Washington Natl,-77.037722,38.852083,America/New_York
DDC,Dodge City Regional Airport,-99.9656,37.7634,America/Chicago
DEC,Decatur,-88.865689,39.834564,America/Chicago
DEN,Denver Intl,-104.673178,39.861656,America/Denver
DET,Coleman A Young Muni,-83.009861,42.409195,America/New_York
DFW,Dallas Fort Worth Intl,-97.037997,32.896828,America/Chicago
DGL,Douglas Municipal Airport,-109.5064544,31.3426028,America/Phoenix
DHB,Deer Harbor Seaplane,-123.00596,48.618397,America/Los_Angeles
DHN,Dothan Rgnl,-85.449628,31.321339,America/Chicago
DHT,Dalhart Muni,-102.547278,36.022586,America/Chicago
DIK,Dickinson Theodore Roosevelt Regional Airport,-102.801944,46.7975,America/Denver
DKB,De Kalb Taylor Municipal Airport,-88.7056864,41.9338342,America/Chicago
DKK,Chautauqua County-Dunkirk Airport,-79.2720417,42.4933353,America/New_York
DKX,Knoxville Downtown Island Airport,-83.8736667,35.9638333,America/New_York
DLF,Laughlin Afb,-100.777975,29.359486,America/Chicago
DLG,Dillingham,-158.5055,59.044667,America/Anchorage
DLH,Duluth Intl,-92.193649,46.842091,America/Chicago
DLL,Baraboo Wisconsin Dells Airport,-89.7709266,43.5217843,America/Chicago
DMA,Davis Monthan Afb,-110.883144,32.166467,America/Phoenix
DNL,Daniel Field Airport,-82.0393808,33.4665028,America/New_York
DNN,Dalton Municipal Airport,-84.87025,34.7229444,America/New_York
DNV,Vermilion Regional,-87.5955278,40.1996944,America/Chicago
DOV,Dover Afb,-75.465958,39.129539,America/New_York
DPA,Dupage,-88.248611,41.907778,America/Chicago
DQH,Douglas Municipal Airport,-82.8605664,31.4767385,America/New_York
DRG,Deering Airport,-162.766,66.0696,America/Anchorage
DRI,Beauregard Rgnl,-93.339917,30.831722,America/Chicago
DRM,Drummond Island Airport,-83.7439342,46.0093114,America/New_York
DRO,Durango La Plata Co,-107.75377,37.151516,America/Denver
DRT,Del Rio Intl,-100.927158,29.374208,America/Chicago
DSM,Des Moines Intl,-93.663083,41.533972,America/Chicago
DTA,Delta Municipal Airport,-112.5077147,39.3806386,America/Denver
DTS,Destin,-86.4714772,30.4000611,America/Chicago
DTW,Detroit Metro Wayne Co,-83.353389,42.212444,America/New_York
DUC,Halliburton Field Airport,-97.9598611,34.4713056,America/Chicago
DUG,Bisbee Douglas Intl,-109.603667,31.469028,America/Phoenix
DUJ,DuBois Regional Airport,-78.8987,41.1783,America/New_York
DUT,Unalaska,-166.5435,53.900139,America/Anchorage
DVL,Devils Lake Regional Airport,-98.908611,48.114444,America/Chicago
DVT,Deer Valley Municipal Airport,112.457,33.4117,Asia/Chongqing
DWA,Yolo County Airport,-121.8569444,38.5793889,America/Los_Angeles
DWH,David Wayne Hooks Field,-95.554276,30.063746,America/Chicago
DWS,Orlando,-81.57,28.398,America/New_York
DXR,Danbury Municipal Airport,-73.4821906,41.3715353,America/New_York
DYS,Dyess Afb,-99.8546,32.420756,America/Chicago
E25,Wickenburg Municipal Airport,-112.7990036,33.96889877,America/Phoenix
E51,Bagdad Airport,-113.170195,34.5958528,America/Phoenix
E55,Ocean Ridge Airport,-123.5306389,38.8016111,America/Los_Angeles
E63,Gila Bend Municipal Airport,-112.673636,32.960169,America/Phoenix
E91,Chinle Municipal Airport,-109.5754222,36.1108806,America/Denver
EAA,Eagle Airport,-141.149722,64.778056,America/Anchorage
EAR,Kearney Municipal Airport,-99.0068,40.727,America/Chicago
EAT,Pangborn Field,-120.206,47.398,America/Los_Angeles
EAU,Chippewa Valley Regional Airport,-91.4843,44.8658,America/Chicago
ECA,Iosco County,-83.422,44.311,America/New_York
ECG,Elizabeth City Cgas Rgnl,-76.174572,36.260581,America/New_York
ECP,Panama City-NW Florida Bea.,-85.7973,30.3417,America/Chicago
EDF,Elmendorf Afb,-149.806503,61.250986,America/Anchorage
EDW,Edwards Afb,-117.883739,34.905417,America/Los_Angeles
EEK,Eek Airport,-162.043889,60.213611,America/Anchorage
EET,Shelby County Airport,-86.7832222,33.1777778,America/Chicago
EFD,Ellington Fld,-95.15875,29.607333,America/Chicago
EGA,Eagle County Airport,-106.9159347,39.6427611,America/Denver
EGE,Eagle Co Rgnl,-106.917694,39.642556,America/Denver
EGT,Wellington Municipal,-97.423225,37.39411,America/Chicago
EGV,Eagle River,-89.268283,45.932333,America/Chicago
EGX,Egegik Airport,-157.375556,58.185556,America/Anchorage
