major	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
Criminology	"1,245,946"	"1,305,362"	"1,363,074"	"1,405,849"	"1,445,111"	"1,475,138"	"1,509,865"	"1,527,545"	"1,550,649"	"1,578,109"	"1,594,502"	"1,616,781"	"1,639,572"	"1,657,297"	"1,671,956"	"1,689,021"	"1,708,274"	"1,726,353"	"1,741,036"	"1,755,320"	"1,771,172"	"1,786,829"	"1,799,547"	"1,818,961"	"1,835,843"	"1,851,437"	"1,869,111"	"1,887,647"	"1,902,272"	"1,914,526"	"1,928,261"	"1,942,812"	"1,954,022"	"1,963,811"	"1,975,786"	"1,986,123"	"2,002,799"	"2,016,643"	"2,032,442"	"2,041,561"	"2,055,939"	"2,068,558"	"2,078,228"	"2,089,266"	"2,104,868"	"2,118,690"	"2,132,146"	"2,145,751"	"2,161,580"	"2,176,318"	"2,188,118"	"2,203,231"	"2,219,813"	"2,232,681"	"2,244,933"	"2,264,105"	"2,279,546"	"2,293,040"	"2,309,995"	"2,321,114"	"2,335,521"	"2,351,958"	"2,369,107"	"2,385,138"	"2,403,873"	"2,418,891"	"2,436,473"	"2,448,947"	"2,466,264"	"2,481,804"	"2,499,009"	"2,520,917"	"2,546,451"	"2,565,634"	"2,579,732"	"2,603,344"	"2,641,420"	"2,659,408"	"2,687,542"	"2,712,983"	"2,738,951"	"2,772,678"	"2,810,498"	"2,847,301"	"2,875,550"	"2,911,060"	"2,947,500"	"3,002,269"	"3,030,832"	"3,077,406"	"3,113,257"	"3,181,026"	"3,232,889"	"3,305,293"	"3,428,786"	"3,529,281"	"3,657,177"	"3,860,950"	"4,193,743"
Drama	"926,513"	"1,013,567"	"1,049,728"	"1,090,248"	"1,119,459"	"1,149,769"	"1,176,996"	"1,212,319"	"1,234,598"	"1,250,717"	"1,271,494"	"1,290,742"	"1,314,268"	"1,334,457"	"1,358,360"	"1,378,918"	"1,395,896"	"1,420,098"	"1,432,748"	"1,450,060"	"1,463,110"	"1,476,539"	"1,488,470"	"1,503,622"	"1,519,665"	"1,534,123"	"1,545,441"	"1,558,668"	"1,572,805"	"1,586,601"	"1,600,528"	"1,616,298"	"1,630,376"	"1,644,218"	"1,653,901"	"1,668,679"	"1,682,193"	"1,698,016"	"1,711,993"	"1,725,877"	"1,738,524"	"1,752,364"	"1,768,600"	"1,781,330"	"1,798,676"	"1,814,852"	"1,829,500"	"1,841,448"	"1,857,727"	"1,869,143"	"1,880,355"	"1,895,985"	"1,914,774"	"1,925,428"	"1,943,406"	"1,960,543"	"1,977,282"	"1,989,392"	"2,008,773"	"2,024,682"	"2,043,038"	"2,055,306"	"2,075,866"	"2,099,514"	"2,116,110"	"2,131,854"	"2,150,190"	"2,170,283"	"2,192,503"	"2,212,258"	"2,226,764"	"2,249,646"	"2,266,929"	"2,286,712"	"2,306,677"	"2,333,832"	"2,359,607"	"2,383,192"	"2,406,634"	"2,440,043"	"2,464,315"	"2,499,774"	"2,527,630"	"2,557,136"	"2,599,379"	"2,638,954"	"2,679,232"	"2,741,472"	"2,791,131"	"2,850,696"	"2,904,493"	"3,003,331"	"3,073,620"	"3,171,266"	"3,279,871"	"3,429,094"	"3,571,773"	"3,771,077"	"4,097,224"
Economics	"1,576,771"	"1,694,050"	"1,770,844"	"1,853,009"	"1,909,526"	"1,965,198"	"2,021,966"	"2,077,954"	"2,129,079"	"2,157,790"	"2,200,860"	"2,236,823"	"2,274,432"	"2,304,141"	"2,336,499"	"2,369,448"	"2,394,358"	"2,420,766"	"2,448,421"	"2,478,480"	"2,495,114"	"2,516,327"	"2,541,025"	"2,561,491"	"2,579,797"	"2,610,765"	"2,636,965"	"2,660,736"	"2,683,961"	"2,707,213"	"2,726,196"	"2,756,352"	"2,782,513"	"2,801,540"	"2,832,799"	"2,852,179"	"2,876,277"	"2,904,701"	"2,922,586"	"2,943,514"	"2,964,597"	"2,998,270"	"3,019,346"	"3,045,224"	"3,074,028"	"3,099,424"	"3,123,351"	"3,146,688"	"3,172,890"	"3,204,282"	"3,232,153"	"3,255,238"	"3,284,777"	"3,309,751"	"3,339,671"	"3,356,463"	"3,376,149"	"3,407,499"	"3,431,166"	"3,456,653"	"3,482,530"	"3,516,539"	"3,548,045"	"3,578,852"	"3,614,862"	"3,644,697"	"3,672,889"	"3,708,290"	"3,749,956"	"3,786,785"	"3,825,495"	"3,865,020"	"3,903,980"	"3,965,893"	"4,000,826"	"4,046,700"	"4,095,462"	"4,147,775"	"4,190,177"	"4,236,907"	"4,280,221"	"4,335,352"	"4,397,516"	"4,455,162"	"4,523,943"	"4,591,366"	"4,652,542"	"4,751,517"	"4,850,023"	"4,951,627"	"5,061,262"	"5,195,132"	"5,341,882"	"5,540,061"	"5,780,948"	"6,014,766"	"6,291,079"	"6,698,490"	"7,427,820"
Education (All)	"964,649"	"1,048,745"	"1,098,237"	"1,134,280"	"1,172,736"	"1,202,786"	"1,231,060"	"1,254,608"	"1,271,614"	"1,298,450"	"1,317,219"	"1,335,890"	"1,352,168"	"1,373,440"	"1,394,342"	"1,416,277"	"1,432,092"	"1,443,177"	"1,459,882"	"1,474,386"	"1,490,029"	"1,505,655"	"1,521,393"	"1,532,146"	"1,545,386"	"1,558,696"	"1,570,959"	"1,590,997"	"1,604,532"	"1,616,787"	"1,627,577"	"1,637,859"	"1,648,417"	"1,655,720"	"1,669,906"	"1,683,698"	"1,695,972"	"1,706,547"	"1,717,841"	"1,731,498"	"1,743,135"	"1,756,386"	"1,769,538"	"1,780,993"	"1,794,091"	"1,806,308"	"1,818,747"	"1,829,354"	"1,840,285"	"1,855,244"	"1,869,491"	"1,883,404"	"1,892,966"	"1,904,800"	"1,915,516"	"1,928,640"	"1,941,938"	"1,957,107"	"1,969,275"	"1,985,900"	"1,997,978"	"2,013,546"	"2,025,781"	"2,042,448"	"2,055,097"	"2,067,004"	"2,084,293"	"2,103,960"	"2,122,743"	"2,137,081"	"2,154,836"	"2,176,840"	"2,191,540"	"2,212,008"	"2,232,688"	"2,255,896"	"2,272,323"	"2,289,790"	"2,307,272"	"2,330,245"	"2,349,926"	"2,373,832"	"2,411,530"	"2,440,826"	"2,467,752"	"2,491,850"	"2,524,622"	"2,557,888"	"2,599,848"	"2,651,010"	"2,708,712"	"2,759,713"	"2,823,301"	"2,879,674"	"2,967,147"	"3,074,934"	"3,183,169"	"3,343,961"	"3,631,356"
Electrical Engineering	"1,868,578"	"1,980,276"	"2,077,645"	"2,136,061"	"2,183,278"	"2,245,006"	"2,278,204"	"2,314,237"	"2,339,475"	"2,369,239"	"2,401,731"	"2,430,697"	"2,469,320"	"2,504,977"	"2,539,676"	"2,556,306"	"2,574,698"	"2,603,104"	"2,634,848"	"2,659,328"	"2,684,729"	"2,714,358"	"2,735,331"	"2,756,350"	"2,775,204"	"2,797,553"	"2,818,449"	"2,841,530"	"2,858,679"	"2,877,661"	"2,896,166"	"2,919,181"	"2,943,598"	"2,960,972"	"2,977,916"	"2,994,453"	"3,009,989"	"3,028,772"	"3,045,771"	"3,064,863"	"3,092,687"	"3,116,428"	"3,132,321"	"3,153,313"	"3,174,975"	"3,196,198"	"3,217,604"	"3,235,807"	"3,255,791"	"3,275,098"	"3,295,328"	"3,316,710"	"3,336,731"	"3,364,221"	"3,383,451"	"3,401,996"	"3,419,022"	"3,440,813"	"3,463,667"	"3,482,383"	"3,505,353"	"3,527,586"	"3,554,823"	"3,586,807"	"3,603,645"	"3,627,881"	"3,654,710"	"3,670,789"	"3,695,364"	"3,725,930"	"3,756,335"	"3,783,999"	"3,807,753"	"3,839,557"	"3,864,233"	"3,895,288"	"3,929,604"	"3,953,017"	"3,985,718"	"4,015,900"	"4,051,352"	"4,099,049"	"4,139,401"	"4,179,201"	"4,222,709"	"4,269,116"	"4,333,660"	"4,406,024"	"4,475,373"	"4,539,009"	"4,627,240"	"4,705,240"	"4,819,559"	"4,936,719"	"5,042,709"	"5,155,223"	"5,374,212"	"5,700,949"	"6,095,134"
Engineering (Other)	"1,670,597"	"1,779,603"	"1,858,324"	"1,906,809"	"1,958,184"	"1,993,679"	"2,038,070"	"2,070,449"	"2,102,154"	"2,135,151"	"2,160,976"	"2,191,961"	"2,218,711"	"2,254,431"	"2,278,424"	"2,305,825"	"2,330,041"	"2,350,416"	"2,364,962"	"2,390,421"	"2,411,961"	"2,429,448"	"2,445,913"	"2,468,072"	"2,489,691"	"2,506,522"	"2,525,112"	"2,542,675"	"2,560,164"	"2,580,981"	"2,600,495"	"2,617,772"	"2,637,016"	"2,655,224"	"2,667,862"	"2,687,992"	"2,706,993"	"2,729,461"	"2,746,436"	"2,767,568"	"2,788,694"	"2,805,108"	"2,820,264"	"2,834,860"	"2,852,062"	"2,868,432"	"2,884,677"	"2,900,463"	"2,914,141"	"2,929,104"	"2,945,531"	"2,960,504"	"2,979,418"	"2,999,398"	"3,016,360"	"3,031,180"	"3,053,990"	"3,073,238"	"3,092,833"	"3,105,572"	"3,124,849"	"3,146,047"	"3,163,241"	"3,184,815"	"3,211,059"	"3,233,053"	"3,252,551"	"3,283,433"	"3,304,906"	"3,327,781"	"3,349,447"	"3,375,693"	"3,405,775"	"3,442,490"	"3,475,166"	"3,503,199"	"3,535,846"	"3,576,004"	"3,618,036"	"3,651,755"	"3,680,347"	"3,718,993"	"3,764,905"	"3,818,084"	"3,879,329"	"3,919,953"	"3,984,670"	"4,042,127"	"4,116,847"	"4,191,967"	"4,256,337"	"4,325,685"	"4,425,340"	"4,518,411"	"4,632,114"	"4,798,898"	"4,994,913"	"5,164,004"	"5,682,185"
Engineering Technologies	"1,541,011"	"1,604,092"	"1,675,838"	"1,730,375"	"1,767,079"	"1,805,820"	"1,835,150"	"1,862,438"	"1,887,995"	"1,914,698"	"1,943,179"	"1,963,516"	"1,998,465"	"2,014,602"	"2,035,586"	"2,052,313"	"2,074,655"	"2,091,574"	"2,110,673"	"2,129,909"	"2,147,206"	"2,165,417"	"2,180,844"	"2,200,046"	"2,213,816"	"2,230,860"	"2,248,796"	"2,262,935"	"2,272,879"	"2,289,313"	"2,305,054"	"2,318,369"	"2,333,732"	"2,345,991"	"2,359,990"	"2,377,293"	"2,387,869"	"2,402,039"	"2,416,797"	"2,431,553"	"2,448,714"	"2,465,471"	"2,479,463"	"2,495,028"	"2,508,378"	"2,527,020"	"2,542,565"	"2,560,172"	"2,580,382"	"2,597,118"	"2,611,031"	"2,624,648"	"2,641,757"	"2,661,385"	"2,682,715"	"2,697,603"	"2,717,326"	"2,737,094"	"2,754,819"	"2,767,606"	"2,790,716"	"2,808,092"	"2,828,931"	"2,851,509"	"2,870,531"	"2,891,515"	"2,908,927"	"2,925,402"	"2,941,382"	"2,957,438"	"2,980,122"	"2,995,628"	"3,025,155"	"3,045,600"	"3,072,543"	"3,096,036"	"3,126,330"	"3,150,832"	"3,178,299"	"3,209,505"	"3,239,150"	"3,257,370"	"3,310,367"	"3,359,660"	"3,394,671"	"3,424,519"	"3,474,315"	"3,530,509"	"3,577,505"	"3,655,571"	"3,714,297"	"3,775,095"	"3,857,320"	"3,954,518"	"4,048,257"	"4,161,783"	"4,294,163"	"4,496,758"	"4,806,496"
English Language/Literature	"1,099,866"	"1,205,525"	"1,267,532"	"1,313,178"	"1,355,399"	"1,389,137"	"1,427,339"	"1,455,838"	"1,480,305"	"1,510,616"	"1,534,960"	"1,558,923"	"1,582,658"	"1,607,420"	"1,627,109"	"1,643,648"	"1,668,595"	"1,689,343"	"1,707,730"	"1,723,093"	"1,744,771"	"1,763,516"	"1,778,612"	"1,801,624"	"1,824,350"	"1,842,453"	"1,859,144"	"1,874,983"	"1,889,047"	"1,910,144"	"1,930,702"	"1,947,221"	"1,970,209"	"1,987,263"	"2,003,452"	"2,020,236"	"2,037,787"	"2,053,107"	"2,071,739"	"2,087,326"	"2,100,637"	"2,114,152"	"2,127,633"	"2,142,981"	"2,162,001"	"2,181,070"	"2,198,943"	"2,222,289"	"2,244,816"	"2,262,669"	"2,277,692"	"2,294,303"	"2,306,027"	"2,325,152"	"2,346,226"	"2,372,044"	"2,390,393"	"2,405,909"	"2,421,752"	"2,449,027"	"2,466,691"	"2,493,867"	"2,523,454"	"2,545,622"	"2,565,650"	"2,599,748"	"2,624,183"	"2,646,929"	"2,670,928"	"2,700,294"	"2,727,305"	"2,756,969"	"2,781,019"	"2,799,783"	"2,833,708"	"2,857,000"	"2,899,869"	"2,928,778"	"2,972,028"	"3,009,229"	"3,047,704"	"3,093,811"	"3,151,051"	"3,186,112"	"3,245,655"	"3,300,782"	"3,345,347"	"3,405,001"	"3,468,608"	"3,550,163"	"3,619,414"	"3,689,177"	"3,800,340"	"3,895,879"	"4,048,124"	"4,254,467"	"4,438,723"	"4,711,485"	"5,094,028"
Environmental Science	"1,169,737"	"1,273,501"	"1,339,759"	"1,391,700"	"1,438,417"	"1,474,130"	"1,515,493"	"1,547,511"	"1,577,418"	"1,601,833"	"1,633,931"	"1,662,751"	"1,679,888"	"1,698,597"	"1,716,764"	"1,734,806"	"1,751,917"	"1,769,521"	"1,786,319"	"1,802,028"	"1,817,519"	"1,831,675"	"1,855,879"	"1,871,520"	"1,891,264"	"1,907,879"	"1,919,775"	"1,937,708"	"1,952,733"	"1,966,089"	"1,984,853"	"2,000,163"	"2,014,736"	"2,028,109"	"2,039,869"	"2,055,196"	"2,068,941"	"2,086,187"	"2,101,135"	"2,112,929"	"2,128,526"	"2,141,481"	"2,156,886"	"2,172,886"	"2,188,562"	"2,203,663"	"2,221,809"	"2,236,505"	"2,251,487"	"2,265,927"	"2,281,883"	"2,299,555"	"2,314,046"	"2,329,425"	"2,345,446"	"2,365,014"	"2,385,385"	"2,402,435"	"2,420,385"	"2,450,061"	"2,465,489"	"2,486,807"	"2,509,605"	"2,530,342"	"2,547,975"	"2,567,902"	"2,589,328"	"2,611,770"	"2,636,030"	"2,663,967"	"2,693,200"	"2,716,969"	"2,738,863"	"2,762,135"	"2,784,340"	"2,816,533"	"2,840,781"	"2,874,074"	"2,906,807"	"2,936,394"	"2,972,120"	"3,015,586"	"3,042,770"	"3,082,200"	"3,125,304"	"3,169,261"	"3,212,791"	"3,272,965"	"3,329,352"	"3,380,670"	"3,431,391"	"3,517,836"	"3,590,207"	"3,714,407"	"3,866,476"	"4,051,250"	"4,201,586"	"4,493,381"	"4,903,996"
Film/Video/Photography	"1,000,167"	"1,096,335"	"1,147,573"	"1,190,663"	"1,232,297"	"1,275,176"	"1,311,567"	"1,340,400"	"1,365,473"	"1,389,723"	"1,410,237"	"1,428,184"	"1,445,136"	"1,467,059"	"1,483,530"	"1,498,510"	"1,514,959"	"1,533,432"	"1,552,983"	"1,570,278"	"1,585,935"	"1,602,528"	"1,616,924"	"1,631,132"	"1,651,176"	"1,667,813"	"1,685,260"	"1,699,632"	"1,714,433"	"1,730,937"	"1,745,062"	"1,760,180"	"1,777,691"	"1,795,230"	"1,810,319"	"1,827,922"	"1,842,252"	"1,860,185"	"1,874,793"	"1,889,870"	"1,900,663"	"1,917,402"	"1,931,667"	"1,947,207"	"1,963,323"	"1,978,507"	"1,993,259"	"2,006,796"	"2,022,022"	"2,036,856"	"2,051,765"	"2,069,408"	"2,084,583"	"2,101,882"	"2,116,526"	"2,137,513"	"2,153,713"	"2,167,317"	"2,182,463"	"2,196,993"	"2,214,297"	"2,232,106"	"2,250,031"	"2,272,274"	"2,287,194"	"2,306,676"	"2,327,776"	"2,358,253"	"2,385,775"	"2,403,660"	"2,420,536"	"2,442,070"	"2,471,251"	"2,495,141"	"2,520,475"	"2,535,539"	"2,558,299"	"2,589,794"	"2,610,980"	"2,642,714"	"2,684,203"	"2,721,009"	"2,754,454"	"2,798,474"	"2,834,641"	"2,888,519"	"2,938,064"	"3,000,994"	"3,057,167"	"3,120,001"	"3,168,531"	"3,259,353"	"3,327,079"	"3,419,901"	"3,525,418"	"3,686,614"	"3,901,125"	"4,145,489"	"4,507,291"
Finance	"1,823,850"	"1,915,426"	"1,998,344"	"2,077,813"	"2,152,864"	"2,204,987"	"2,251,996"	"2,288,116"	"2,322,788"	"2,352,084"	"2,385,897"	"2,411,073"	"2,439,809"	"2,468,996"	"2,509,574"	"2,537,985"	"2,564,915"	"2,588,196"	"2,616,118"	"2,645,665"	"2,673,622"	"2,697,827"	"2,722,845"	"2,741,083"	"2,757,511"	"2,777,466"	"2,800,705"	"2,834,058"	"2,854,444"	"2,875,405"	"2,895,008"	"2,922,104"	"2,946,990"	"2,969,268"	"2,994,786"	"3,015,065"	"3,033,879"	"3,055,191"	"3,087,953"	"3,108,331"	"3,126,758"	"3,147,877"	"3,167,992"	"3,188,617"	"3,213,237"	"3,236,540"	"3,256,013"	"3,276,021"	"3,302,591"	"3,329,913"	"3,352,911"	"3,390,036"	"3,413,928"	"3,436,668"	"3,463,000"	"3,483,306"	"3,506,917"	"3,525,794"	"3,550,090"	"3,583,502"	"3,607,158"	"3,629,920"	"3,644,989"	"3,686,963"	"3,717,064"	"3,745,806"	"3,781,707"	"3,814,581"	"3,854,992"	"3,889,971"	"3,920,697"	"3,951,690"	"3,982,586"	"4,027,986"	"4,060,625"	"4,096,958"	"4,137,774"	"4,191,589"	"4,234,468"	"4,272,963"	"4,324,040"	"4,363,268"	"4,421,144"	"4,496,146"	"4,580,177"	"4,634,709"	"4,711,252"	"4,766,271"	"4,829,585"	"4,912,661"	"5,019,648"	"5,115,890"	"5,236,080"	"5,354,366"	"5,524,332"	"5,742,138"	"6,004,422"	"6,427,336"	"6,952,280"
Fine Arts	"932,308"	"1,006,868"	"1,050,379"	"1,104,120"	"1,152,470"	"1,182,185"	"1,199,995"	"1,230,099"	"1,246,507"	"1,263,412"	"1,292,388"	"1,313,177"	"1,331,267"	"1,351,871"	"1,368,262"	"1,384,928"	"1,405,878"	"1,424,614"	"1,437,149"	"1,451,849"	"1,473,228"	"1,487,449"	"1,501,527"	"1,514,506"	"1,528,306"	"1,543,486"	"1,561,082"	"1,573,753"	"1,585,647"	"1,601,302"	"1,611,103"	"1,620,788"	"1,632,948"	"1,649,956"	"1,666,083"	"1,680,661"	"1,693,558"	"1,710,362"	"1,725,270"	"1,735,864"	"1,746,914"	"1,758,825"	"1,772,649"	"1,787,039"	"1,802,430"	"1,821,037"	"1,831,783"	"1,848,580"	"1,862,188"	"1,878,371"	"1,893,093"	"1,911,560"	"1,929,011"	"1,944,191"	"1,955,796"	"1,973,338"	"1,990,794"	"2,012,893"	"2,029,876"	"2,043,271"	"2,060,138"	"2,080,435"	"2,098,092"	"2,116,833"	"2,133,029"	"2,150,413"	"2,172,172"	"2,188,432"	"2,205,264"	"2,223,940"	"2,245,243"	"2,263,087"	"2,285,872"	"2,303,148"	"2,329,795"	"2,358,627"	"2,377,927"	"2,403,445"	"2,431,900"	"2,465,895"	"2,488,743"	"2,524,693"	"2,562,068"	"2,597,934"	"2,640,303"	"2,684,733"	"2,725,244"	"2,780,280"	"2,828,277"	"2,886,633"	"2,960,627"	"3,034,887"	"3,104,034"	"3,178,134"	"3,282,606"	"3,399,771"	"3,578,111"	"3,813,080"	"4,103,032"
Foreign Languages	"1,093,201"	"1,178,313"	"1,224,498"	"1,270,336"	"1,310,020"	"1,350,400"	"1,383,580"	"1,418,526"	"1,443,146"	"1,467,951"	"1,496,793"	"1,519,581"	"1,542,482"	"1,570,106"	"1,586,411"	"1,605,781"	"1,627,856"	"1,650,932"	"1,670,513"	"1,690,224"	"1,707,604"	"1,723,961"	"1,742,259"	"1,756,668"	"1,773,452"	"1,791,685"	"1,806,595"	"1,822,626"	"1,838,371"	"1,851,682"	"1,869,549"	"1,888,003"	"1,904,428"	"1,916,115"	"1,929,663"	"1,945,806"	"1,960,574"	"1,971,432"	"1,992,554"	"2,013,925"	"2,033,792"	"2,046,785"	"2,068,716"	"2,083,537"	"2,103,066"	"2,122,007"	"2,136,972"	"2,155,933"	"2,169,759"	"2,186,429"	"2,209,098"	"2,226,952"	"2,242,906"	"2,261,426"	"2,274,650"	"2,296,011"	"2,310,193"	"2,330,484"	"2,346,804"	"2,371,278"	"2,402,165"	"2,427,015"	"2,450,722"	"2,472,090"	"2,496,516"	"2,521,600"	"2,544,121"	"2,571,443"	"2,592,884"	"2,625,658"	"2,662,337"	"2,686,395"	"2,710,229"	"2,738,054"	"2,766,461"	"2,794,039"	"2,832,148"	"2,854,172"	"2,882,027"	"2,920,803"	"2,966,767"	"3,002,344"	"3,044,152"	"3,081,668"	"3,135,190"	"3,191,757"	"3,233,609"	"3,286,317"	"3,369,823"	"3,430,133"	"3,495,665"	"3,577,017"	"3,695,735"	"3,790,458"	"3,949,203"	"4,096,450"	"4,271,074"	"4,606,349"	"5,131,173"
Forestry	"1,214,097"	"1,277,034"	"1,353,755"	"1,399,025"	"1,424,143"	"1,462,755"	"1,486,327"	"1,510,874"	"1,532,491"	"1,555,889"	"1,579,718"	"1,598,259"	"1,618,172"	"1,640,626"	"1,657,773"	"1,675,161"	"1,688,592"	"1,708,254"	"1,721,572"	"1,740,602"	"1,754,712"	"1,767,951"	"1,777,836"	"1,789,150"	"1,803,886"	"1,819,036"	"1,829,795"	"1,843,332"	"1,855,074"	"1,867,728"	"1,880,212"	"1,892,127"	"1,904,456"	"1,915,211"	"1,927,922"	"1,941,010"	"1,952,705"	"1,962,873"	"1,974,379"	"1,986,218"	"1,999,043"	"2,017,835"	"2,032,322"	"2,045,369"	"2,057,118"	"2,070,333"	"2,082,306"	"2,095,211"	"2,106,159"	"2,117,295"	"2,127,959"	"2,141,687"	"2,151,852"	"2,164,506"	"2,177,950"	"2,193,752"	"2,206,373"	"2,220,114"	"2,236,391"	"2,252,706"	"2,269,677"	"2,284,675"	"2,300,794"	"2,317,604"	"2,331,465"	"2,345,192"	"2,362,558"	"2,378,473"	"2,396,031"	"2,408,654"	"2,423,839"	"2,441,687"	"2,459,842"	"2,480,994"	"2,498,126"	"2,520,906"	"2,542,241"	"2,563,389"	"2,584,638"	"2,614,221"	"2,636,547"	"2,656,143"	"2,686,237"	"2,714,522"	"2,740,346"	"2,769,208"	"2,806,492"	"2,838,994"	"2,876,280"	"2,903,865"	"2,952,683"	"3,007,857"	"3,070,028"	"3,141,878"	"3,217,954"	"3,313,132"	"3,453,711"	"3,604,330"	"3,939,797"
General Business	"1,440,355"	"1,556,304"	"1,641,190"	"1,693,756"	"1,735,777"	"1,778,546"	"1,809,876"	"1,847,481"	"1,885,157"	"1,917,784"	"1,952,171"	"1,970,779"	"1,995,474"	"2,016,963"	"2,042,741"	"2,063,440"	"2,087,129"	"2,108,795"	"2,127,782"	"2,150,776"	"2,172,837"	"2,195,830"	"2,218,043"	"2,237,217"	"2,257,457"	"2,273,060"	"2,295,711"	"2,311,055"	"2,333,019"	"2,349,890"	"2,369,538"	"2,388,749"	"2,405,105"	"2,425,905"	"2,444,113"	"2,463,255"	"2,490,894"	"2,504,630"	"2,520,343"	"2,540,183"	"2,559,822"	"2,572,838"	"2,594,641"	"2,614,345"	"2,632,791"	"2,651,795"	"2,675,474"	"2,692,640"	"2,710,270"	"2,726,232"	"2,747,573"	"2,766,932"	"2,783,257"	"2,807,374"	"2,828,198"	"2,846,057"	"2,871,502"	"2,890,405"	"2,905,074"	"2,923,438"	"2,939,845"	"2,964,706"	"2,985,709"	"3,012,595"	"3,039,423"	"3,060,080"	"3,093,608"	"3,113,926"	"3,140,220"	"3,165,992"	"3,195,132"	"3,217,754"	"3,246,524"	"3,269,882"	"3,306,959"	"3,335,324"	"3,367,593"	"3,398,129"	"3,428,674"	"3,467,976"	"3,499,441"	"3,545,676"	"3,590,484"	"3,636,249"	"3,684,674"	"3,737,702"	"3,784,318"	"3,844,095"	"3,914,052"	"3,998,500"	"4,052,402"	"4,130,755"	"4,228,917"	"4,323,930"	"4,434,492"	"4,620,029"	"4,777,757"	"5,014,742"	"5,438,974"
Geography	"1,149,997"	"1,260,190"	"1,317,376"	"1,356,474"	"1,407,238"	"1,434,643"	"1,466,267"	"1,487,648"	"1,519,040"	"1,537,585"	"1,557,982"	"1,574,169"	"1,598,215"	"1,616,609"	"1,632,780"	"1,649,547"	"1,666,432"	"1,679,981"	"1,701,027"	"1,720,206"	"1,738,222"	"1,758,206"	"1,774,706"	"1,786,911"	"1,801,960"	"1,816,892"	"1,831,692"	"1,846,792"	"1,861,694"	"1,871,904"	"1,885,865"	"1,895,699"	"1,909,151"	"1,924,792"	"1,936,320"	"1,950,710"	"1,967,927"	"1,981,493"	"1,995,192"	"2,011,494"	"2,025,803"	"2,037,521"	"2,053,350"	"2,069,463"	"2,081,049"	"2,096,451"	"2,110,685"	"2,127,596"	"2,141,970"	"2,160,130"	"2,172,624"	"2,188,768"	"2,204,110"	"2,218,874"	"2,232,137"	"2,251,752"	"2,269,842"	"2,290,174"	"2,303,995"	"2,322,142"	"2,338,742"	"2,362,562"	"2,378,041"	"2,397,387"	"2,419,153"	"2,438,586"	"2,460,848"	"2,477,531"	"2,494,299"	"2,526,677"	"2,548,367"	"2,570,818"	"2,587,782"	"2,613,677"	"2,634,986"	"2,662,223"	"2,688,441"	"2,716,208"	"2,739,206"	"2,765,901"	"2,797,067"	"2,834,735"	"2,869,915"	"2,907,944"	"2,938,898"	"2,983,351"	"3,025,847"	"3,066,015"	"3,109,859"	"3,161,433"	"3,242,319"	"3,303,991"	"3,373,244"	"3,451,837"	"3,546,228"	"3,670,391"	"3,858,453"	"4,157,001"	"4,486,420"
Graphic Design	"1,088,362"	"1,188,466"	"1,234,624"	"1,278,232"	"1,322,377"	"1,358,647"	"1,383,274"	"1,415,949"	"1,449,544"	"1,472,450"	"1,500,293"	"1,523,994"	"1,541,564"	"1,563,075"	"1,586,303"	"1,604,836"	"1,624,523"	"1,643,281"	"1,663,625"	"1,679,586"	"1,698,793"	"1,713,890"	"1,729,948"	"1,745,140"	"1,761,110"	"1,782,267"	"1,796,853"	"1,814,314"	"1,831,613"	"1,846,429"	"1,861,874"	"1,876,688"	"1,891,581"	"1,910,373"	"1,924,317"	"1,939,371"	"1,957,254"	"1,971,505"	"1,982,977"	"1,996,597"	"2,009,258"	"2,024,165"	"2,039,171"	"2,052,961"	"2,065,707"	"2,083,552"	"2,098,864"	"2,115,227"	"2,128,029"	"2,145,721"	"2,160,399"	"2,176,617"	"2,198,009"	"2,210,785"	"2,229,566"	"2,242,533"	"2,258,764"	"2,275,767"	"2,292,058"	"2,311,630"	"2,326,668"	"2,346,868"	"2,363,735"	"2,390,236"	"2,408,276"	"2,432,248"	"2,450,335"	"2,472,183"	"2,495,031"	"2,523,249"	"2,550,112"	"2,565,653"	"2,589,987"	"2,611,362"	"2,633,863"	"2,669,562"	"2,693,423"	"2,725,555"	"2,754,500"	"2,785,106"	"2,818,493"	"2,854,769"	"2,887,898"	"2,928,122"	"2,973,293"	"3,012,315"	"3,060,315"	"3,113,672"	"3,169,160"	"3,216,165"	"3,276,169"	"3,356,293"	"3,430,985"	"3,536,802"	"3,656,072"	"3,776,222"	"3,958,945"	"4,180,321"	"4,657,622"
